id,valeur_NO2,valeur_CO,valeur_O3,valeur_PM10,valeur_PM25
2022-06-03 05,58.4,0.239,31.5,23.1,7.4
2022-06-03 06,62.7,0.257,30.6,16.56614280170741,9.4
2022-06-03 07,58.6,0.28,32.5,16.56614280170741,11.1
2022-06-03 08,48.4,0.27,46.2,16.56614280170741,11.7
2022-06-03 09,43.3,0.279,51.3,16.56614280170741,12.8
2022-06-03 10,39.2,0.242,60.3,16.56614280170741,15.6
2022-06-03 11,29.8,0.228,72.0,16.56614280170741,17.6
2022-06-03 12,36.9,0.222,54.1,16.56614280170741,15.2
2022-06-03 13,26.4,0.183,52.2,16.56614280170741,9.0
2022-06-03 14,31.1,0.235,48.2,16.8,10.9
2022-06-03 15,36.6,0.247,47.0,14.1,9.7
2022-06-03 16,46.9,0.277,44.9,14.2,8.6
2022-06-03 17,29.9,0.225,67.6,17.8,9.2
2022-06-03 18,36.5,0.26,60.3,20.1,11.9
2022-06-03 19,58.1,0.303,36.3,27.5,15.4
2022-06-03 20,77.8,0.356,16.3,26.1,17.7
2022-06-03 21,50.7,0.301,23.4,27.1,19.8
2022-06-03 22,31.9,0.242,37.5,22.9,17.0
2022-06-03 23,30.1,0.23,42.1,20.2,14.9
2022-06-04 00,29.1,0.223,40.4,20.9,14.9
2022-06-04 01,23.7,0.21,40.7,20.4,14.4
2022-06-04 02,19.3,0.193,40.4,20.4,14.3
2022-06-04 03,19.8,0.194,34.8,20.1,14.2
2022-06-04 04,25.6,0.207,24.8,19.7,13.5
2022-06-04 05,22.8,0.194,26.7,17.8,11.8
2022-06-04 06,37.6,0.238,10.7,23.2,14.4
2022-06-04 07,40.3,0.264,8.6,24.3,15.4
2022-06-04 08,37.4,0.293,16.2,27.2,17.6
2022-06-04 09,26.7,0.229,43.1,24.1,15.6
2022-06-04 10,18.4,0.189,74.7,22.9,11.7
2022-06-04 11,15.6,0.185,98.5,16.56614280170741,11.2
2022-06-04 12,12.7,0.163,115.1,16.56614280170741,13.0
2022-06-04 13,11.8,0.151,104.1,16.56614280170741,10.1
2022-06-04 14,12.0,0.155,94.6,16.56614280170741,9.7
2022-06-04 15,20.2,0.173,77.7,16.56614280170741,8.9
2022-06-04 16,31.4,0.199,55.4,16.7,7.4
2022-06-04 17,29.6,0.215,54.1,11.2,7.0
2022-06-04 18,34.0,0.248,48.8,11.3,8.3
2022-06-04 19,31.7,0.223,52.0,9.2,6.9
2022-06-04 20,21.8,0.193,54.6,9.1,6.1
2022-06-04 21,26.5,0.208,46.3,11.3,8.0
2022-06-04 22,44.6,0.276,27.1,12.1,8.4
2022-06-04 23,49.3,0.276,21.4,12.3,8.4
2022-06-05 00,37.4,0.25,29.2,11.3,7.9
2022-06-05 01,58.0,0.324,4.8,13.2,9.4
2022-06-05 02,46.1,0.292,9.6,16.0,11.8
2022-06-05 03,27.7,0.213,24.5,13.7,9.5
2022-06-05 04,17.8,0.179,31.3,13.3,8.9
2022-06-05 05,17.5,0.197,32.7,12.4,8.1
2022-06-05 06,22.9,0.215,28.4,13.9,9.2
2022-06-05 07,14.9,0.169,50.1,11.6,6.6
2022-06-05 08,10.1,0.156,55.6,12.3,6.0
2022-06-05 09,10.1,0.148,54.7,15.2,6.3
2022-06-05 10,10.0,0.15,51.6,15.7,7.5
2022-06-05 11,10.8,0.155,50.7,14.8,9.8
2022-06-05 12,10.6,0.158,56.2,18.6,9.9
2022-06-05 13,7.9,0.151,64.0,18.2,8.5
2022-06-05 14,7.2,0.149,66.2,18.5,8.2
2022-06-05 15,6.9,0.143,73.9,19.8,7.2
2022-06-05 16,8.4,0.144,74.3,17.9,6.1
2022-06-05 17,11.3,0.157,65.7,19.0,6.9
2022-06-05 18,21.5,0.193,48.6,10.1,7.1
2022-06-05 19,31.2,0.191,42.0,11.9,8.4
2022-06-05 20,24.3,0.181,47.8,10.3,7.5
2022-06-05 21,20.3,0.188,47.3,10.3,7.9
2022-06-05 22,15.4,0.17,53.9,10.3,7.7
2022-06-05 23,17.4,0.164,51.6,7.6,5.2
2022-06-06 00,12.3,0.15,55.8,8.4,6.2
2022-06-06 01,14.1,0.163,49.2,8.7,6.6
2022-06-06 02,9.2,0.141,48.3,8.7,5.0
2022-06-06 03,7.6,0.131,55.2,6.1,3.6
2022-06-06 04,8.9,0.137,49.5,7.8,3.9
2022-06-06 05,9.6,0.123,45.0,6.5,3.0
2022-06-06 06,8.2,0.121,45.8,6.8,2.8
2022-06-06 07,6.5,0.12,55.1,7.7,2.9
2022-06-06 08,6.7,0.123,59.9,8.2,3.0
2022-06-06 09,6.9,0.124,64.3,9.4,3.1
2022-06-06 10,6.0,0.125,67.1,8.9,3.1
2022-06-06 11,5.8,0.128,69.1,16.56614280170741,3.2
2022-06-06 12,6.3,0.127,69.1,16.56614280170741,3.4
2022-06-06 13,6.2,0.124,73.1,16.56614280170741,3.3
2022-06-06 14,7.2,0.126,73.7,16.56614280170741,3.5
2022-06-06 15,8.6,0.133,74.1,16.56614280170741,3.9
2022-06-06 16,8.1,0.133,76.6,16.56614280170741,3.6
2022-06-06 17,8.9,0.136,77.8,16.56614280170741,3.4
2022-06-06 18,9.8,0.143,76.9,9.3,3.7
2022-06-06 19,13.9,0.146,69.5,9.9,4.4
2022-06-06 20,12.7,0.141,67.4,8.8,3.9
2022-06-06 21,11.8,0.139,63.7,8.6,3.7
2022-06-06 22,11.4,0.128,62.9,7.5,3.5
2022-06-06 23,8.5,0.121,62.2,6.7,3.1
2022-06-07 00,6.5,0.114,59.0,4.8,2.3
2022-06-07 01,5.0,0.11,58.5,4.6,2.3
2022-06-07 02,5.6,0.112,54.6,4.3,2.6
2022-06-07 03,10.5,0.119,44.9,5.4,3.4
2022-06-07 04,14.8,0.125,33.0,6.1,3.1
2022-06-07 05,18.8,0.143,25.6,5.7,3.0
2022-06-07 06,16.2,0.162,31.4,7.4,3.1
2022-06-07 07,15.2,0.165,36.8,8.9,2.9
2022-06-07 08,15.3,0.157,43.4,8.7,3.1
2022-06-07 09,11.7,0.146,48.7,9.9,3.3
2022-06-07 10,9.2,0.143,56.9,8.4,2.8
2022-06-07 11,10.4,0.144,57.3,10.5,3.2
2022-06-07 12,20.61335561008719,0.138,60.9,11.0,2.9
2022-06-07 13,8.2,0.134,61.4,9.9,2.6
2022-06-07 14,9.7,0.137,60.7,10.1,3.1
2022-06-07 15,20.61335561008719,0.14,62.3,12.5,3.3
2022-06-07 16,10.9,0.147,67.2,16.0,4.2
2022-06-07 17,10.6,0.16,63.9,12.1,3.9
2022-06-07 18,12.2,0.168,65.6,12.1,5.2
2022-06-07 19,16.7,0.172,60.1,13.1,6.3
2022-06-07 20,17.8,0.167,54.4,13.1,6.2
2022-06-07 21,14.0,0.153,52.7,13.3,6.5
2022-06-07 22,10.7,0.141,53.0,12.0,5.8
2022-06-07 23,9.3,0.133,51.4,12.4,5.7
2022-06-08 00,8.8,0.124,47.9,13.0,6.7
2022-06-08 01,7.7,0.122,48.6,16.56614280170741,8.2
2022-06-08 02,5.5,0.116,48.4,10.3,5.6
2022-06-08 03,6.4,0.12,45.7,7.8,4.9
2022-06-08 04,19.8,0.14,29.9,7.6,5.0
2022-06-08 05,28.3,0.19,20.6,6.4,4.4
2022-06-08 06,30.0,0.203,16.3,6.8,3.7
2022-06-08 07,27.2,0.218,15.5,7.5,3.0
2022-06-08 08,22.5,0.214,19.8,7.4,3.2
2022-06-08 09,16.0,0.166,28.4,6.8,2.7
2022-06-08 10,12.2,0.154,46.4,6.8,3.1
2022-06-08 11,13.4,0.16,46.7,9.9,5.1
2022-06-08 12,9.6,0.136,58.9,11.6,4.7
2022-06-08 13,11.4,0.134,62.6,14.4,5.0
2022-06-08 14,8.8,0.132,64.5,15.0,5.6
2022-06-08 15,10.9,0.139,68.3,15.1,5.6
2022-06-08 16,10.4,0.147,66.4,14.9,5.2
2022-06-08 17,10.2,0.152,65.2,15.8,6.3
2022-06-08 18,14.9,0.163,58.1,11.9,6.3
2022-06-08 19,24.8,0.171,45.3,14.2,6.8
2022-06-08 20,26.8,0.175,40.3,13.2,6.6
2022-06-08 21,23.4,0.166,39.0,8.6,4.8
2022-06-08 22,18.7,0.16,39.5,9.6,5.0
2022-06-08 23,12.3,0.134,44.4,10.8,5.0
2022-06-09 00,8.4,0.121,48.4,12.3,5.6
2022-06-09 01,6.1,0.118,51.8,15.5,6.7
2022-06-09 02,5.8,0.117,52.1,15.8,7.1
2022-06-09 03,6.9,0.117,49.0,15.0,7.1
2022-06-09 04,11.1,0.123,44.1,16.2,7.4
2022-06-09 05,13.5,0.131,41.9,16.7,7.7
2022-06-09 06,15.3,0.145,41.7,20.2,8.5
2022-06-09 07,12.9,0.148,49.2,21.9,9.3
2022-06-09 08,11.7,0.14,54.0,20.6,9.1
2022-06-09 09,10.1,0.137,58.0,20.0,8.6
2022-06-09 10,12.2,0.146,57.6,19.0,8.3
2022-06-09 11,8.8,0.137,62.4,16.3,7.5
2022-06-09 12,7.8,0.134,67.1,18.8,7.0
2022-06-09 13,8.6,0.133,66.5,15.7,5.6
2022-06-09 14,8.9,0.132,66.3,15.9,5.1
2022-06-09 15,9.5,0.132,68.5,14.5,4.9
2022-06-09 16,11.8,0.147,65.6,15.4,6.0
2022-06-09 17,16.0,0.163,57.8,19.2,7.1
2022-06-09 18,16.5,0.158,54.5,19.3,8.0
2022-06-09 19,16.6,0.153,50.5,19.9,8.4
2022-06-09 20,19.8,0.167,47.0,20.0,9.2
2022-06-09 21,15.0,0.163,49.2,14.8,8.3
2022-06-09 22,15.5,0.165,45.8,13.7,7.6
2022-06-09 23,22.2,0.174,36.1,13.6,7.6
2022-06-10 00,20.8,0.161,33.4,13.7,8.0
2022-06-10 01,13.5,0.142,40.3,16.56614280170741,9.9
2022-06-10 02,15.0,0.137,38.7,12.5,7.2
2022-06-10 03,14.6,0.134,39.4,12.0,7.1
2022-06-10 04,21.5,0.15,30.3,11.3,6.4
2022-06-10 05,24.9,0.161,27.6,12.6,6.5
2022-06-10 06,23.1,0.174,31.2,15.3,6.8
2022-06-10 07,18.1,0.188,41.0,16.5,6.3
2022-06-10 08,15.6,0.173,45.0,15.3,5.3
2022-06-10 09,12.7,0.141,51.6,15.3,4.9
2022-06-10 10,10.5,0.15,58.0,13.1,5.2
2022-06-10 11,9.5,0.147,55.3,15.7,7.1
2022-06-10 12,9.6,0.139,53.8,16.0,6.0
2022-06-10 13,11.2,0.141,50.9,14.8,5.2
2022-06-10 14,10.9,0.135,53.6,14.5,5.4
2022-06-10 15,12.1,0.139,49.9,17.2,5.8
2022-06-10 16,10.1,0.14,48.9,16.1,5.5
2022-06-10 17,10.6,0.149,48.8,12.5,4.7
2022-06-10 18,11.6,0.136,46.1,12.2,4.0
2022-06-10 19,15.3,0.136,41.8,16.0,5.2
2022-06-10 20,38.9,0.172,19.6,20.1,5.8
2022-06-10 21,42.9,0.206,13.1,17.4,5.6
2022-06-10 22,44.5,0.26,10.0,12.6,5.5
2022-06-10 23,33.8,0.215,16.9,9.8,4.8
2022-06-11 00,32.7,0.198,16.1,9.5,4.7
2022-06-11 01,25.2,0.167,23.4,8.8,4.6
2022-06-11 02,18.2,0.148,30.4,7.9,4.3
2022-06-11 03,15.7,0.139,29.3,9.8,4.8
2022-06-11 04,13.9,0.137,26.5,9.3,5.3
2022-06-11 05,14.5,0.14,24.1,13.1,6.6
2022-06-11 06,12.6,0.14,27.0,13.8,7.1
2022-06-11 07,11.2,0.137,35.0,13.8,6.8
2022-06-11 08,11.1,0.14,40.4,14.7,7.1
2022-06-11 09,9.3,0.139,50.1,16.1,7.0
2022-06-11 10,8.7,0.139,58.4,14.5,6.0
2022-06-11 11,8.6,0.142,67.9,15.9,6.5
2022-06-11 12,7.2,0.13,75.8,16.56614280170741,5.7
2022-06-11 13,7.0,0.125,79.4,16.56614280170741,6.0
2022-06-11 14,7.1,0.124,76.5,16.56614280170741,6.2
2022-06-11 15,7.4,0.123,75.7,16.56614280170741,6.0
2022-06-11 16,9.1,0.127,72.0,16.56614280170741,5.8
2022-06-11 17,9.7,0.142,70.4,16.56614280170741,6.2
2022-06-11 18,12.2,0.158,69.5,16.56614280170741,7.0
2022-06-11 19,11.2,0.168,68.7,16.56614280170741,8.5
2022-06-11 20,10.8,0.158,64.6,16.56614280170741,10.3
2022-06-11 21,10.3,0.145,60.0,16.56614280170741,10.1
2022-06-11 22,11.3,0.14,56.9,15.6,8.3
2022-06-11 23,12.6,0.135,54.2,12.6,6.7
2022-06-12 00,8.0,0.124,60.7,11.9,6.1
2022-06-12 01,7.6,0.12,61.8,11.0,6.3
2022-06-12 02,6.3,0.117,60.5,10.2,6.1
2022-06-12 03,7.4,0.119,58.7,11.6,6.5
2022-06-12 04,7.9,0.118,59.0,12.1,6.8
2022-06-12 05,9.1,0.122,57.9,11.8,6.2
2022-06-12 06,7.3,0.124,61.8,11.8,6.2
2022-06-12 07,7.1,0.126,63.4,11.9,6.0
2022-06-12 08,5.9,0.124,69.2,14.0,6.1
2022-06-12 09,5.4,0.123,73.4,13.3,5.4
2022-06-12 10,5.5,0.13,76.2,16.2,5.8
2022-06-12 11,5.4,0.13,80.0,13.6,5.9
2022-06-12 12,5.1,0.128,86.4,16.56614280170741,5.8
2022-06-12 13,5.1,0.126,88.0,16.56614280170741,6.3
2022-06-12 14,5.2,0.124,88.0,16.56614280170741,6.7
2022-06-12 15,5.5,0.122,86.7,16.56614280170741,7.7
2022-06-12 16,5.4,0.124,85.7,16.56614280170741,6.8
2022-06-12 17,6.6,0.131,83.6,16.56614280170741,7.0
2022-06-12 18,8.1,0.137,81.2,16.56614280170741,7.5
2022-06-12 19,7.7,0.134,73.1,16.56614280170741,6.1
2022-06-12 20,6.9,0.13,68.7,10.6,4.3
2022-06-12 21,7.6,0.129,64.8,9.4,4.4
2022-06-12 22,6.3,0.119,65.4,7.4,4.0
2022-06-12 23,5.7,0.113,64.8,10.4,5.3
2022-06-13 00,5.8,0.112,64.8,12.2,6.4
2022-06-13 01,5.6,0.11,63.9,16.56614280170741,8.7
2022-06-13 02,6.3,0.114,62.0,14.2,8.3
2022-06-13 03,8.7,0.115,57.5,14.0,8.3
2022-06-13 04,12.3,0.118,52.7,15.3,8.6
2022-06-13 05,18.3,0.133,45.4,17.4,9.4
2022-06-13 06,22.5,0.157,42.1,21.5,10.8
2022-06-13 07,20.7,0.161,46.2,28.9,11.7
2022-06-13 08,14.3,0.136,57.6,21.6,9.1
2022-06-13 09,10.9,0.131,69.5,19.8,10.0
2022-06-13 10,8.4,0.134,79.3,16.56614280170741,8.8
2022-06-13 11,6.9,0.13,86.1,16.56614280170741,8.8
2022-06-13 12,6.9,0.125,91.5,16.56614280170741,8.3
2022-06-13 13,7.7,0.125,93.8,16.56614280170741,8.0
2022-06-13 14,7.9,0.127,96.2,16.56614280170741,8.5
2022-06-13 15,7.3,0.126,94.9,16.56614280170741,7.0
2022-06-13 16,8.1,0.134,93.6,16.56614280170741,6.8
2022-06-13 17,8.5,0.139,94.0,16.56614280170741,6.9
2022-06-13 18,11.2,0.153,88.3,15.2,7.4
2022-06-13 19,12.5,0.154,83.6,15.6,7.2
2022-06-13 20,16.6,0.16,77.6,13.0,6.5
2022-06-13 21,16.8,0.16,74.2,12.3,6.8
2022-06-13 22,18.5,0.171,71.4,13.1,7.2
2022-06-13 23,18.3,0.168,70.1,12.8,7.6
2022-06-14 00,13.1,0.158,73.0,14.6,8.1
2022-06-14 01,10.9,0.14,69.8,17.7,8.2
2022-06-14 02,10.1,0.136,70.3,13.7,6.7
2022-06-14 03,14.3,0.143,62.5,11.4,5.7
2022-06-14 04,28.5,0.163,47.4,13.9,5.9
2022-06-14 05,31.8,0.174,43.7,14.4,6.4
2022-06-14 06,31.9,0.192,51.4,17.5,7.9
2022-06-14 07,24.5,0.18,64.8,23.8,7.7
2022-06-14 08,18.4,0.16,74.9,25.8,8.2
2022-06-14 09,10.1,0.141,90.5,20.4,7.3
2022-06-14 10,9.8,0.152,98.3,20.7,8.1
2022-06-14 11,8.8,0.149,108.4,16.56614280170741,9.7
2022-06-14 12,9.1,0.146,114.0,16.56614280170741,8.9
2022-06-14 13,9.0,0.145,116.4,16.56614280170741,8.3
2022-06-14 14,9.1,0.149,119.5,16.56614280170741,8.4
2022-06-14 15,8.9,0.149,122.7,16.56614280170741,8.7
2022-06-14 16,8.9,0.151,123.3,16.56614280170741,9.6
2022-06-14 17,10.0,0.154,119.4,16.56614280170741,7.9
2022-06-14 18,10.2,0.158,116.4,16.0,7.9
2022-06-14 19,17.0,0.195,106.8,20.9,10.2
2022-06-14 20,21.5,0.205,98.1,20.0,10.1
2022-06-14 21,35.0,0.231,78.9,19.7,10.1
2022-06-14 22,30.2,0.204,76.6,19.0,9.0
2022-06-14 23,38.6,0.21,59.6,20.9,9.6
2022-06-15 00,39.4,0.184,56.1,16.9,8.2
2022-06-15 01,22.7,0.155,66.4,18.5,8.2
2022-06-15 02,26.8,0.158,58.4,14.1,6.8
2022-06-15 03,25.5,0.172,55.9,15.9,7.5
2022-06-15 04,41.8,0.199,42.6,19.1,8.7
2022-06-15 05,57.1,0.235,31.0,25.2,10.8
2022-06-15 06,61.5,0.263,32.5,16.56614280170741,12.5
2022-06-15 07,54.9,0.285,45.3,16.56614280170741,13.6
2022-06-15 08,41.7,0.234,68.8,16.56614280170741,13.1
2022-06-15 09,28.9,0.203,93.0,16.56614280170741,11.4
2022-06-15 10,24.9,0.198,108.9,16.56614280170741,11.9
2022-06-15 11,18.2,0.187,130.2,16.56614280170741,11.1
2022-06-15 12,16.5,0.183,142.4,16.56614280170741,11.5
2022-06-15 13,15.6,0.182,155.8,16.56614280170741,11.4
2022-06-15 14,16.4,0.184,163.4,16.56614280170741,11.7
2022-06-15 15,15.5,0.182,165.6,16.56614280170741,13.3
2022-06-15 16,14.0,0.182,157.3,16.56614280170741,11.5
2022-06-15 17,12.7,0.186,149.0,16.56614280170741,10.0
2022-06-15 18,12.7,0.19,136.6,16.56614280170741,10.2
2022-06-15 19,14.2,0.193,127.8,16.56614280170741,13.2
2022-06-15 20,17.0,0.201,122.0,16.56614280170741,15.0
2022-06-15 21,20.1,0.216,114.2,16.56614280170741,12.4
2022-06-15 22,19.6,0.202,111.3,29.6,11.4
2022-06-15 23,13.8,0.188,117.2,20.5,10.1
2022-06-16 00,12.9,0.186,114.7,20.9,10.5
2022-06-16 01,11.5,0.173,108.5,21.6,11.9
2022-06-16 02,14.9,0.184,99.3,25.3,13.0
2022-06-16 03,18.8,0.196,85.4,26.5,13.1
2022-06-16 04,25.3,0.201,79.5,28.3,14.0
2022-06-16 05,34.0,0.21,73.0,29.3,15.0
2022-06-16 06,41.8,0.237,72.2,35.1,17.5
2022-06-16 07,38.5,0.269,87.4,16.56614280170741,18.5
2022-06-16 08,31.8,0.438,107.6,16.56614280170741,18.5
2022-06-16 09,20.9,0.184,134.3,16.56614280170741,11.2
2022-06-16 10,14.2,0.172,153.8,16.56614280170741,9.7
2022-06-16 11,15.6,0.177,154.8,16.56614280170741,10.9
2022-06-16 12,12.1,0.161,156.4,16.56614280170741,9.5
2022-06-16 13,11.8,0.15,149.4,16.56614280170741,9.1
2022-06-16 14,12.9,0.15,145.3,16.56614280170741,10.2
2022-06-16 15,11.9,0.149,142.2,16.56614280170741,8.8
2022-06-16 16,13.9,0.155,141.1,16.56614280170741,10.8
2022-06-16 17,19.5,0.18,137.4,16.56614280170741,10.2
2022-06-16 18,18.9,0.188,135.8,16.56614280170741,10.8
2022-06-16 19,20.5,0.201,129.1,16.56614280170741,13.1
2022-06-16 20,26.0,0.212,113.0,16.56614280170741,12.2
2022-06-16 21,42.9,0.249,86.5,16.56614280170741,13.8
2022-06-16 22,43.8,0.24,81.0,16.56614280170741,14.0
2022-06-16 23,27.5,0.196,94.8,16.56614280170741,10.9
2022-06-17 00,23.0,0.186,100.1,23.7,10.9
2022-06-17 01,11.6,0.165,109.4,20.8,10.3
2022-06-17 02,12.7,0.165,100.0,20.0,10.1
2022-06-17 03,19.5,0.172,89.2,18.4,9.7
2022-06-17 04,33.0,0.189,73.1,22.6,10.5
2022-06-17 05,47.6,0.201,61.3,23.3,10.1
2022-06-17 06,64.0,0.243,49.4,16.56614280170741,14.1
2022-06-17 07,53.2,0.282,65.7,16.56614280170741,13.2
2022-06-17 08,40.8,0.234,93.7,16.56614280170741,14.9
2022-06-17 09,29.1,0.195,117.2,16.56614280170741,12.9
2022-06-17 10,24.5,0.187,122.6,16.56614280170741,13.0
2022-06-17 11,20.0,0.177,133.1,16.56614280170741,12.6
2022-06-17 12,15.0,0.173,145.8,16.56614280170741,11.0
2022-06-17 13,17.2,0.171,149.6,16.56614280170741,10.9
2022-06-17 14,16.8,0.167,159.2,16.56614280170741,13.2
2022-06-17 15,20.0,0.183,164.2,16.56614280170741,15.7
2022-06-17 16,23.7,0.194,169.9,16.56614280170741,15.8
2022-06-17 17,28.9,0.214,158.8,16.56614280170741,18.5
2022-06-17 18,36.8,0.231,122.2,16.56614280170741,14.2
2022-06-17 19,50.1,0.287,88.9,16.56614280170741,25.5
2022-06-17 20,69.6,0.29,53.8,16.56614280170741,16.9
2022-06-17 21,63.6,0.313,49.3,16.56614280170741,16.1
2022-06-17 22,79.8,0.353,29.1,16.56614280170741,16.7
2022-06-17 23,77.9,0.335,25.7,16.56614280170741,13.8
2022-06-18 00,63.1,0.293,34.6,26.3,11.9
2022-06-18 01,46.3,0.235,45.1,25.3,11.0
2022-06-18 02,47.6,0.24,35.7,25.4,11.1
2022-06-18 03,51.7,0.247,27.5,23.7,11.4
2022-06-18 04,50.5,0.242,22.8,28.4,11.6
2022-06-18 05,45.5,0.229,32.4,29.8,11.7
2022-06-18 06,46.8,0.231,40.2,16.56614280170741,13.0
2022-06-18 07,43.2,0.238,62.0,16.56614280170741,13.2
2022-06-18 08,45.2,0.255,82.5,16.56614280170741,13.6
2022-06-18 09,40.1,0.254,110.8,16.56614280170741,16.2
2022-06-18 10,19.3,0.194,128.8,16.56614280170741,15.2
2022-06-18 11,17.8,0.187,141.1,16.56614280170741,19.6
2022-06-18 12,14.0,0.176,123.4,16.56614280170741,19.4
2022-06-18 13,13.5,0.177,126.2,16.56614280170741,19.9
2022-06-18 14,11.8,0.172,126.2,16.56614280170741,18.1
2022-06-18 15,9.7,0.167,115.7,16.56614280170741,19.5
2022-06-18 16,9.6,0.163,108.1,16.56614280170741,18.5
2022-06-18 17,12.7,0.175,105.0,16.56614280170741,21.3
2022-06-18 18,13.5,0.189,103.2,16.56614280170741,18.7
2022-06-18 19,23.6,0.245,87.1,16.56614280170741,24.6
2022-06-18 20,31.5,0.282,67.9,16.56614280170741,30.8
2022-06-18 21,55.7,0.415,35.1,16.56614280170741,35.9
2022-06-18 22,76.4,0.399,15.4,16.56614280170741,29.5
2022-06-18 23,67.9,0.403,16.1,16.56614280170741,29.5
2022-06-19 00,14.7,0.181,70.3,16.56614280170741,18.2
2022-06-19 01,8.8,0.145,58.7,16.56614280170741,18.7
2022-06-19 02,8.0,0.15,55.5,16.56614280170741,19.9
2022-06-19 03,7.0,0.135,56.2,16.56614280170741,15.3
2022-06-19 04,7.2,0.143,54.8,16.56614280170741,15.6
2022-06-19 05,7.5,0.133,53.0,29.6,12.0
2022-06-19 06,8.4,0.124,52.5,30.4,12.4
2022-06-19 07,9.4,0.121,47.7,22.9,9.0
2022-06-19 08,10.1,0.128,46.8,21.7,9.4
2022-06-19 09,10.5,0.139,46.7,27.2,12.6
2022-06-19 10,11.3,0.155,51.7,34.4,16.1
2022-06-19 11,8.1,0.152,57.9,38.0,17.2
2022-06-19 12,7.3,0.143,63.4,29.7,13.7
2022-06-19 13,9.2,0.15,75.6,30.4,12.2
2022-06-19 14,10.4,0.156,82.1,33.0,13.6
2022-06-19 15,12.7,0.163,82.1,36.3,15.0
2022-06-19 16,12.0,0.171,82.4,16.56614280170741,18.1
2022-06-19 17,10.7,0.172,85.7,16.56614280170741,19.9
2022-06-19 18,11.7,0.178,83.6,16.56614280170741,17.3
2022-06-19 19,11.4,0.162,75.3,16.56614280170741,16.8
2022-06-19 20,13.3,0.158,56.0,24.4,13.5
2022-06-19 21,13.9,0.163,42.4,24.5,19.0
2022-06-19 22,12.9,0.161,42.8,24.1,19.5
2022-06-19 23,12.3,0.148,38.6,24.2,19.6
2022-06-20 00,9.7,0.139,35.9,21.9,18.1
